Linux 3.10.0-229.el7.x86_64 (rhel7-23.in.ibm.com) 	11/10/2015 	_x86_64_	(24 CPU)

08:44:36 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:53 PM     br-ex     15.00      0.00      1.21      0.00      0.00      0.00      0.00

08:44:53 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:54 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
08:44:54 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:54 PM    br-int      4.00      0.00      0.34      0.00      0.00      0.00      0.00
08:44:54 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:54 PM      eth0     31.00     24.00     10.37      5.10      0.00      0.00      1.00
08:44:54 PM      eth1     10.00      3.00      1.38      0.19      0.00      0.00      0.00
08:44:54 PM      eth2      5.00      0.00      0.29      0.00      0.00      0.00      0.00
08:44:54 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:54 PM      eth4      5.00      0.00      0.29      0.00      0.00      0.00      0.00
08:44:54 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:54 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:54 PM     br-ex     13.00      0.00      1.57      0.00      0.00      0.00      0.00

08:44:54 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:55 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
08:44:55 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:55 PM    br-int      5.00      0.00      0.38      0.00      0.00      0.00      0.00
08:44:55 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:55 PM      eth0     49.00     53.00     11.95     12.37      0.00      0.00      0.00
08:44:55 PM      eth1      8.00      0.00      0.54      0.00      0.00      0.00      8.00
08:44:55 PM      eth2      4.00      0.00      0.23      0.00      0.00      0.00      0.00
08:44:55 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:55 PM      eth4      4.00      0.00      0.23      0.00      0.00      0.00      0.00
08:44:55 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
