Linux 3.10.0-229.el7.x86_64 (rhel7-23.in.ibm.com) 	11/10/2015 	_x86_64_	(24 CPU)

09:51:54 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:52:12 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:12 PM    br-int     16.00      0.00      1.32      0.00      0.00      0.00      0.00
09:52:12 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:12 PM      eth0     76.00     66.00     39.94     11.27      0.00      0.00      0.00
09:52:12 PM      eth1      8.00      4.00      0.47      0.33      0.00      0.00      0.00
09:52:12 PM      eth2      5.00      0.00      0.29      0.00      0.00      0.00      0.00
09:52:12 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:12 PM      eth4      5.00      0.00      0.29      0.00      0.00      0.00      0.00
09:52:12 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:12 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:12 PM     br-ex     12.00      0.00      0.81      0.00      0.00      0.00      0.00

09:52:12 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:52:13 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
09:52:13 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:13 PM    br-int     16.00      0.00      1.41      0.00      0.00      0.00      0.00
09:52:13 PM qr-06252627-4f      1.00      0.00      0.04      0.00      0.00      0.00      0.00
09:52:13 PM qr-b22c9f5f-65      1.00      0.00      0.04      0.00      0.00      0.00      0.00
09:52:13 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:13 PM qr-d2e8fd16-7e      1.00      0.00      0.04      0.00      0.00      0.00      0.00
09:52:13 PM      eth0 758197062.00 3269659534.00 946790220.66 4462671909.16      0.00      0.00    735.00
09:52:13 PM      eth1 4493536275.00 1413079017.00 5782962035.62 1775587201.53      0.00      0.00 358864.00
09:52:13 PM      eth2 467983.00      0.00  27631.18      0.00      0.00      0.00     24.00
09:52:13 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:13 PM      eth4 542514.00  83045.00  33072.95  14566.13      0.00      0.00    809.00
09:52:13 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:13 PM        lo 902259.00 902259.00  46998.76  46998.76      0.00      0.00      0.00

09:52:13 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:52:14 PM tapb50545ea-66     12.00      0.00      0.82      0.00      0.00      0.00      0.00
09:52:14 PM      usb0 107821.00 107493.00   8591.87  10037.80      0.00      0.00      0.00
09:52:14 PM qg-37305230-65     11.00      0.00      0.86      0.00      0.00      0.00      0.00
09:52:14 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
